303;LD1M / 00015741 / 8;259;0,2070 HA;
304;LD1M / 00015846 / 4;9;0,0888 HA;
305;LD1M / 00015848 / 8;361/2;0,1050 HA;
306;LD1M / 00016432 / 6;258;0,0810 HA;
307;LD1M / 00016952 / 7;---101/2125;1,8138 HA;
308;LD1M / 00017050 / 1;322/9;0,2913;
309;LD1M / 00017069 / 7;3/1;0,2136 HA;
310;LD1M / 00017669 / 3;309;---;
311;LD1M / 00017807 / 3;---;0,1400 HA;
312;LD1M / 00017808 / 0;292/2;0,3534 HA;
313;LD1M / 00018331 / 2;320/3320/7320/8;0,1200 HA;
314;LD1M / 00018332 / 9;289/4289/5319/3;0,2168 HA;
315;LD1M / 00018333 / 6;294/2;0,2695;
316;LD1M / 00018697 / 5;204;0,0661 HA;
317;LD1M / 00019352 / 2;381;0,1000 HA;
318;LD1M / 00019353 / 9;7;0,0426 HA;
319;LD1M / 00019354 / 6;383;0,1200 HA;
320;LD1M / 00019356 / 0;371/1;0,0689 HA;
321;LD1M / 00019357 / 7;387;0,1421 HA;
322;LD1M / 00019358 / 4;14;0,1147 HA;
323;LD1M / 00019359 / 1;369;0,0564 HA;
324;LD1M / 00019361 / 8;9;0,0520 HA;
325;LD1M / 00019387 / 6;330/2337/7;0,0898 HA;
326;LD1M / 00019388 / 3;1;0,0777 HA;
327;LD1M / 00019389 / 0;5;0,0753 HA;
328;LD1M / 00019851 / 0;BRAK;0,0823 HA;
329;LD1M / 00019888 / 8;262/2;0,2938;
330;LD1M / 00020099 / 0;15;0,1319 HA;
331;LD1M / 00020334 / 0;2;0,0753 HA;
332;LD1M / 00020335 / 7;3;0,0753 HA;
333;LD1M / 00020386 / 9;12;0,1150 HA;
334;LD1M / 00020612 / 3;2/21/2;1,3024 HA;
335;LD1M / 00020617 / 8;1;0,0772 HA;
336;LD1M / 00020756 / 4;8;0,1401 HA;
337;LD1M / 00021391 / 4;351/1351/3;0,0963 HA;
338;LD1M / 00021741 / 3;7;0,0742 HA;
339;LD1M / 00021742 / 0;10;0,0920 HA;
340;LD1M / 00021743 / 7;1;0,0852 HA;
341;LD1M / 00021744 / 4;6;0,0800 HA;
342;LD1M / 00021745 / 1;9;0,0789 HA;
343;LD1M / 00021746 / 8;8;0,0808 HA;
344;LD1M / 00021747 / 5;3;0,0812 HA;
345;LD1M / 00021748 / 2;BRAK;0,0948 HA;
346;LD1M / 00022032 / 7;199/12;0,5978;
347;LD1M / 00023468 / 9;149/1;0,0986 HA;
348;LD1M / 00024437 / 0;372/1;0,0613 HA;
349;LD1M / 00024438 / 7;5;0,0562 HA;
350;LD1M / 00024439 / 4;18;0,1495 HA;
351;LD1M / 00024440 / 4;17;0,1416 HA;
352;LD1M / 00024441 / 1;21;0,1501 HA;
353;LD1M / 00024534 / 0;19;0,1497 HA;
354;LD1M / 00025042 / 1;6;0,0591 HA;
355;LD1M / 00025539 / 2;13;0,0884 HA;
356;LD1M / 00026382 / 3;269/1;1,5269 HA;
357;LD1M / 00026383 / 0;258;0,0681;
358;LD1M / 00026385 / 4;390;0,8700 HA;
359;LD1M / 00026392 / 6;389/4;0,0298 HA;
360;LD1M / 00027102 / 4;43/2;0,0580 HA;
361;LD1M / 00027103 / 1;4;0,2870 HA;
362;LD1M / 00027104 / 8;179/1179/3;0,1585;
363;LD1M / 00027651 / 7;3;0,2005 HA;
364;LD1M / 00027652 / 4;145146/3;0,1418 HA;
365;LD1M / 00027653 / 1;79/679/5;0,2005 HA;
366;LD1M / 00027877 / 7;374/1;0,0757;
367;LD1M / 00027969 / 9;241/3;0,1889 HA;
368;LD1M / 00028138 / 2;4;0,0674 HA;
369;LD1M / 00028139 / 9;57;0,1046 HA;
370;LD1M / 00028809 / 7;2/1;0,1510 HA;
371;LD1M / 00028810 / 7;409/3;0,1025 HA;
372;LD1M / 00028811 / 4;406/1;0,1575 HA;
373;LD1M / 00028812 / 1;408/5;0,0286 HA;
374;LD1M / 00028956 / 2;178/2;0,0809 HA;
375;LD1M / 00028957 / 9;3;0,2716 HA;
376;LD1M / 00028961 / 0;2;0,1430 HA;
377;LD1M / 00028979 / 9;307/5;0,1484 HA;
378;LD1M / 00029208 / 1;411;0,1966 HA;
379;LD1M / 00029209 / 8;107;0,3124 HA;
380;LD1M / 00029210 / 8;410/3410/7;0,0392 HA;
381;LD1M / 00029211 / 5;329/3;0,1795 HA;
382;LD1M / 00029212 / 2;2/2;0,1326 HA;
383;LD1M / 00029213 / 9;4/4;0,3210 HA;
384;LD1M / 00029393 / 4;178/1;0,0809 HA;
385;LD1M / 00030066 / 3;4/3;0,0584 HA;
386;LD1M / 00030067 / 0;4/2;0,0616 HA;
387;LD1M / 00030385 / 5;351/2;0,0948 HA;
388;LD1M / 00030852 / 0;216/6;0,2607 HA;
389;LD1M / 00032602 / 7;268/12269/2;0,1778;
390;LD1M / 00032946 / 0;7;0,1494 HA;
391;LD1M / 00033368 / 1;268/5;0,1002 HA;
392;LD1M / 00033369 / 8;268/6;0,1008;
393;LD1M / 00033774 / 0;247/2;0,1000 HA;
394;LD1M / 00033778 / 8;268/3;0,0798 HA;
395;LD1M / 00033977 / 3;366/1;0,0650 HA;
396;LD1M / 00034019 / 7;188/1;0,1065 HA;
397;LD1M / 00034750 / 3;155/2;0,0868 HA;
null;null;null;null;
398;LD1M / 00019851 / 0;BRAK;0,0823 HA;
399;LD1M / 00037309 / 8;12/2;0,2279 HA;
400;LD1M / 00037310 / 8;400;0,0755 HA;
401;LD1M / 00037680 / 2;366/3;0,0578 HA;
402;LD1M / 00037681 / 9;366/4;0,0560 HA;
403;LD1M / 00038237 / 9;126/3;0,2721 HA;
404;LD1M / 00038408 / 9;307/1;0,2397 HA;
405;LD1M / 00038578 / 1;256/1;0,0560 HA;
406;LD1M / 00039376 / 2;345346347;0,3800 HA;
407;LD1M / 00039464 / 6;164/2;0,0500 HA;
408;LD1M / 00040209 / 1;80/480/3;0,4300 HA;
409;LD1M / 00040269 / 9;144/1;0,0720 HA;
410;LD1M / 00040398 / 2;425/1;0,1052 HA;
411;LD1M / 00041043 / 6;308/2;0,1198 HA;
412;LD1M / 00041044 / 3;308/1;0,1201 HA;
413;LD1M / 00041045 / 0;310;0,2463 HA;
414;LD1M / 00042210 / 5;421;0,4225 HA;
415;LD1M / 00043217 / 1;116;0,0700 HA;
416;LD1M / 00043981 / 7;267/3267/6267/7;0,5600 HA;
417;LD1M / 00044218 / 5;825/336206;5,6310 HA;
418;LD1M / 00044451 / 0;8;0,0753 HA;
419;LD1M / 00044452 / 7;10;0,0808 HA;
420;LD1M / 00044453 / 4;9;0,0753 HA;
421;LD1M / 00044454 / 1;7;0,0753 HA;
422;LD1M / 00044455 / 8;6;0,0753 HA;
423;LD1M / 00045432 / 8;8982/382/4;0,5900 HA;
424;LD1M / 00045814 / 0;171/2;0,1000 HA;
425;LD1M / 00045839 / 1;2741;0,4100 HA;
426;LD1M / 00046331 / 7;12;1,0100 HA;
427;LD1M / 00047262 / 9;31;0,2400 HA;
428;LD1M / 00047363 / 7;182;0,0702 HA;
429;LD1M / 00049981 / 9;114/9251/3;708,0000 M2;
430;LD1M / 00051001 / 3;3;0,4900 HA;
431;LD1M / 00051132 / 0;108;0,2100 HA;
432;LD1M / 00051384 / 1;221/1;0,0080 HA;
433;LD1M / 00053625 / 7;305/9;0,0796 HA;
434;LD1M / 00055022 / 4;231;0,1300 HA;
435;LD1M / 00055674 / 9;66;0,4200 HA;
436;LD1M / 00056373 / 6;133/5;0,1200 HA;
437;LD1M / 00056380 / 8;240/1;0,1963 HA;
438;LD1M / 00056503 / 7;144/2;0,0806 HA;
439;LD1M / 00056618 / 6;192;0,1000 HA;
null;null;null;null;
440;LD1M / 00011781 / 2;393;0,1400 HA;
null;null;null;null;
441;LD1M / 00011781 / 2;393;0,1400 HA;
442;LD1M / 00011783 / 6;334;0,1400;
443;LD1M / 00011784 / 3;335;0,1384 HA;
444;LD1M / 00012733 / 8;171819202122;0,3013 HA;
445;LD1M / 00012776 / 1;BRAK;0,3000 HA;
446;LD1M / 00012777 / 8;BRAK;0,4508 HA;
447;LD1M / 00012779 / 2;8;0,1100 HA;
448;LD1M / 00012780 / 2;9;0,1000 HA;
449;LD1M / 00013949 / 2;4 A;0,2756 HA;
450;LD1M / 00013950 / 2;13;0,0750 HA;
451;LD1M / 00013965 / 0;11;0,1487 HA;
452;LD1M / 00013967 / 4;63366/5;0,8879 HA;
453;LD1M / 00014755 / 2;14;0,1269 HA;
454;LD1M / 00015034 / 9;698;0,6000;
455;LD1M / 00015161 / 8;BRAK;0,1879 HA;
456;LD1M / 00015162 / 5;311/3;0,0948 HA;
457;LD1M / 00015741 / 8;259;0,2070 HA;
458;LD1M / 00015846 / 4;9;0,0888 HA;
459;LD1M / 00015848 / 8;361/2;0,1050 HA;
460;LD1M / 00016432 / 6;258;0,0810 HA;
461;LD1M / 00016952 / 7;---101/2125;1,8138 HA;
462;LD1M / 00017050 / 1;322/9;0,2913;
463;LD1M / 00017069 / 7;3/1;0,2136 HA;
464;LD1M / 00017669 / 3;309;---;
465;LD1M / 00017807 / 3;---;0,1400 HA;
466;LD1M / 00017808 / 0;292/2;0,3534 HA;
467;LD1M / 00018331 / 2;320/3320/7320/8;0,1200 HA;
468;LD1M / 00018332 / 9;289/4289/5319/3;0,2168 HA;
469;LD1M / 00018333 / 6;294/2;0,2695;
470;LD1M / 00018697 / 5;204;0,0661 HA;
471;LD1M / 00019352 / 2;381;0,1000 HA;
472;LD1M / 00019353 / 9;7;0,0426 HA;
473;LD1M / 00019354 / 6;383;0,1200 HA;
474;LD1M / 00019356 / 0;371/1;0,0689 HA;
475;LD1M / 00019357 / 7;387;0,1421 HA;
